x;cubic;linear
0;1,612503767;1,539938
0,009999999776;1,611417294;1,5388515
0,01999999955;1,610330939;1,5377651
0,02999999933;1,609849572;1,5372837
0,03999999911;1,609368205;1,5368022
0,05000000075;1,608808517;1,5362425
0,05999999866;1,608248949;1,5356828
0,0700000003;1,607501388;1,5349351
0,07999999821;1,606753826;1,5341876
0,09000000358;1,60603416;1,5334678
0,1000000015;1,605314493;1,532748
0,1099999994;1,60464716;1,5320807
0,1199999973;1,603979826;1,5314132
0,1299999952;1,603254557;1,5306878
0,1400000006;1,602529287;1,5299624
0,150000006;1,601703286;1,5291363
0,1599999964;1,600877285;1,5283103
0,1700000018;1,599962711;1,5273956
0,1800000072;1,599048018;1,5264809
0,1899999976;1,598260045;1,5256928
0,200000003;1,597472072;1,5249047
0,2099999934;1,596747637;1,5241802
0,2199999988;1,596023202;1,5234556
0,2300000042;1,594981194;1,5224136
0,2399999946;1,593939304;1,5213716
0,25;1,592899919;1,5203321
0,2599999905;1,591860533;1,5192926
0,2700000107;1,591206193;1,518638
0,2800000012;1,590551853;1,5179836
0,2899999917;1,58965528;1,517087
0,3000000119;1,588758707;1,5161903
0,3100000024;1,587489367;1,5149209
0,3199999928;1,586220026;1,5136515
0,3300000131;1,585388422;1,5128198
0,3400000036;1,584556937;1,511988
0,349999994;1,583905697;1,5113366
0,3600000143;1,583254457;1,5106851
0,3700000048;1,582034826;1,5094656
0,3799999952;1,580815315;1,5082461
0,3899999857;1,579657197;1,5070877
0,400000006;1,57849896;1,5059294
0,4099999964;1,577884197;1,5053142
0,4199999869;1,577269316;1,5046991
0,4300000072;1,576354504;1,5037843
0,4399999976;1,575439692;1,5028695
0,4499999881;1,574117661;1,5015473
0,4600000083;1,57279551;1,5002252
0,4699999988;1,571928978;1,4993583
0,4799999893;1,571062446;1,4984914
0,4900000095;1,570402503;1,4978312
0,5;1,56974256;1,497171
0,5099999905;1,568579197;1,4960079
0,5199999809;1,567415953;1,4948447
0,5299999714;1,566257596;1,4936861
0,5400000215;1,56509912;1,4925274
0,5500000119;1,564403772;1,4918315
0,5600000024;1,563708544;1,4911358
0,5699999928;1,562845945;1,4902732
0,5799999833;1,561983228;1,4894105
0,5899999738;1,560772538;1,4881999
0,6000000238;1,559561729;1,4869893
0,6100000143;1,558628082;1,4860549
0,6200000048;1,557694316;1,4851207
0,6299999952;1,55697751;1,4844034
0,6399999857;1,556260586;1,4836862
0,6499999762;1,555235982;1,482662
0,6600000262;1,554211259;1,4816376
0,6700000167;1,553109407;1,4805354
0,6800000072;1,552007437;1,4794332
0,6899999976;1,551201582;1,4786265
0,6999999881;1,550395727;1,4778197
0,7099999785;1,549566269;1,4769905
0,7200000286;1,548736811;1,4761612
0,7300000191;1,547671795;1,4750966
0,7400000095;1,54660666;1,4740319
0,75;1,545642376;1,4730666
0,7599999905;1,544677973;1,4721011
0,7699999809;1,543885231;1,4713078
0,7799999714;1,54309237;1,4705143
0,7900000215;1,542169929;1,469593
0,8000000119;1,541247606;1,4686718
0,8100000024;1,540228844;1,4676527
0,8199999928;1,539210081;1,4666336
0,8299999833;1,538331509;1,4657532
0,8399999738;1,537453055;1,4648728
0,8500000238;1,536618829;1,4640393
0,8600000143;1,535784602;1,4632058
0,8700000048;1,534829617;1,4622523
0,8799999952;1,533874631;1,4612987
0,8899999857;1,532920837;1,4603428
0,8999999762;1,531967163;1,4593868
0,9100000262;1,53111589;1,4585342
0,9200000167;1,530264616;1,4576817
0,9300000072;1,529392958;1,4568129
0,9399999976;1,528521419;1,4559442
0,9499999881;1,527575016;1,4549975
0,9599999785;1,526628494;1,4540508
0,9700000286;1,525717854;1,4531361
0,9800000191;1,524807215;1,4522214
0,9900000095;1,523957968;1,4513739
1;1,52310884;1,4505265
1,00999999;1,522222996;1,4496444
1,019999981;1,521337152;1,4487624
1,029999971;1,520403981;1,447825
1,039999962;1,519470811;1,4468874
1,049999952;1,518583059;1,4459965
1,059999943;1,517695427;1,4451058
1,070000052;1,516853333;1,4442704
1,080000043;1,516011238;1,443435
1,090000033;1,515116811;1,4425409
1,100000024;1,514222383;1,4416468
1,110000014;1,513291001;1,4407067
1,120000005;1,512359619;1,4397668
1,129999995;1,511501312;1,4389119
1,139999986;1,510643005;1,4380572
1,149999976;1,509811878;1,4372352
1,159999967;1,50898087;1,4364133
1,169999957;1,508057714;1,4354815
1,179999948;1,507134557;1,4345498
1,190000057;1,506213188;1,4336215
1,200000048;1,505291939;1,4326932
1,210000038;1,504485369;1,431901
1,220000029;1,503678918;1,4311087
1,230000019;1,502829313;1,4302616
1,24000001;1,501979709;1,4294145
1,25;1,501011372;1,4284282
1,25999999;1,500043035;1,427442
1,269999981;1,499179482;1,4265847
1,279999971;1,49831593;1,4257275
1,289999962;1,497555375;1,424987
1,299999952;1,49679482;1,4242464
1,309999943;1,495865941;1,4233021
1,320000052;1,494937062;1,4223577
1,330000043;1,493961096;1,4213665
1,340000033;1,492985129;1,4203752
1,350000024;1,492235422;1,4196533
1,360000014;1,491485834;1,4189314
1,370000005;1,490694523;1,418148
1,379999995;1,489903212;1,4173647
1,389999986;1,488863826;1,4162917
1,399999976;1,48782444;1,4152186
1,409999967;1,486949682;1,4143534
1,419999957;1,486075044;1,413488
1,429999948;1,485421062;1,4128731
1,440000057;1,484767079;1,4122583
1,450000048;1,483823538;1,4112908
1,460000038;1,482880116;1,4103233
1,470000029;1,481814027;1,4092282
1,480000019;1,480747938;1,4081331
1,49000001;1,480074644;1,4075062
1,5;1,479401231;1,4068794
1,50999999;1,478693724;1,4061906
1,519999981;1,477986217;1,405502
1,529999971;1,47685349;1,4043167
1,539999962;1,475720763;1,4031315
1,549999952;1,474819541;1,4022413
1,559999943;1,473918319;1,4013512
1,570000052;1,473388791;1,4008839
1,580000043;1,472859263;1,4004166
1,590000033;1,471915483;1,3994449
1,600000024;1,470971704;1,3984733
1,610000014;1,469814062;1,3972743
1,620000005;1,46865654;1,3960751
1,629999995;1,468035221;1,3955138
1,639999986;1,467414021;1,3949525
1,649999976;1,466790438;1,3943611
1,659999967;1,466166973;1,3937697
1,669999957;1,464997768;1,3925436
1,679999948;1,463828564;1,3913175
1,690000057;1,462896466;1,390395
1,700000048;1,461964488;1,3894727
1,710000038;1,46147871;1,3890561
1,720000029;1,460992932;1,3886395
1,730000019;1,460104465;1,3877356
1,74000001;1,459215999;1,3868319
1,75;1,458069086;1,3856503
1,75999999;1,456922174;1,3844687
1,769999981;1,456255913;1,3838511
1,779999971;1,455589771;1,3832335
1,789999962;1,454984069;1,3826624
1,799999952;1,454378366;1,3820913
1,809999943;1,453335881;1,3810227
1,820000052;1,452293277;1,3799541
1,830000043;1,45135808;1,3790247
1,840000033;1,450423002;1,3780955
1,850000024;1,449828148;1,3775394
1,860000014;1,449233174;1,3769833
1,870000005;1,448451042;1,3762095
1,879999995;1,44766891;1,3754358
1,889999986;1,446685553;1,3744504
1,899999976;1,445702314;1,3734649
1,909999967;1,444926858;1,3726993
1,919999957;1,444151402;1,3719336
1,929999948;1,443482041;1,371276
1,940000057;1,442812681;1,3706183
1,950000048;1,441981792;1,3698027
1,960000038;1,441150904;1,3689872
1,970000029;1,440286994;1,3681239
1,980000019;1,439423084;1,3672606
1,99000001;1,438702822;1,3628045
2;1,437982559;1,3583485
2,00999999;1,437203765;1,357754
2,019999981;1,436431408;1,3572973
2,029999971;1,435658574;1,3565656
2,039999962;1,434893847;1,3557116
2,049999952;1,434129477;1,3549043
2,059999943;1,433364391;1,3541553
2,069999933;1,432602763;1,3534194
2,079999924;1,431844234;1,3526676
2,089999914;1,431085944;1,3519018
2,099999905;1,430328727;1,3511407
2,109999895;1,429573536;1,3503884
2,119999886;1,428819418;1,3496361
2,130000114;1,428066134;1,3488815
2,140000105;1,427313566;1,3481271
2,150000095;1,426561832;1,3473732
2,160000086;1,425810575;1,3466196
2,170000076;1,425059915;1,3458661
2,180000067;1,424309134;1,345112
2,190000057;1,423558831;1,3443575
2,200000048;1,422808528;1,3436028
2,210000038;1,422057867;1,3428473
2,220000029;1,421306968;1,3420912
2,230000019;1,420556068;1,3413347
2,24000001;1,419804454;1,3405771
2,25;1,419052243;1,3398187
2,25999999;1,418299556;1,3390596
2,269999981;1,417546391;1,3382995
2,279999971;1,416791916;1,3375381
2,289999962;1,416036963;1,336776
2,299999952;1,415281177;1,336013
2,309999943;1,414524317;1,3352487
2,319999933;1,413766265;1,334483
2,329999924;1,413007617;1,3337169
2,339999914;1,412247539;1,3329492
2,349999905;1,411486506;1,3321804
2,359999895;1,410724282;1,3314105
2,369999886;1,409961224;1,3306398
2,380000114;1,409196615;1,3298675
2,390000105;1,408431053;1,3290944
2,400000095;1,407664299;1,3283201
2,410000086;1,406896591;1,3275449
2,420000076;1,406127334;1,3267683
2,430000067;1,405357361;1,3259909
2,440000057;1,404585958;1,3252124
2,450000048;1,403813601;1,3244328
2,460000038;1,403039813;1,3236521
2,470000029;1,40226531;1,3228707
2,480000019;1,401489496;1,3220881
2,49000001;1,400712729;1,3213048
2,5;1,399934769;1,3205204
2,50999999;1,399155974;1,3197353
2,519999981;1,398375988;1,318949
2,529999971;1,397595167;1,3181621
2,539999962;1,396813154;1,3173742
2,549999952;1,396030426;1,3165857
2,559999943;1,395246625;1,3157963
2,569999933;1,394461989;1,3150061
2,579999924;1,3936764;1,3142152
2,589999914;1,392890096;1,3134236
2,599999905;1,392102838;1,3126312
2,609999895;1,391314864;1,3118383
2,619999886;1,390525937;1,3110446
2,630000114;1,389736414;1,3102503
2,640000105;1,388946056;1,3094554
2,650000095;1,388154984;1,3086599
2,660000086;1,387363195;1,3078637
2,670000076;1,386570692;1,3070672
2,680000067;1,385777593;1,3062699
2,690000057;1,384983897;1,3054721
2,700000048;1,384189367;1,3046739
2,710000038;1,38339448;1,3038752
2,720000029;1,382598877;1,3030759
2,730000019;1,381802678;1,3022763
2,74000001;1,381006002;1,3014761
2,75;1,380208731;1,3006755
2,75999999;1,379410982;1,2998745
2,769999981;1,378612757;1,2990731
2,779999971;1,377813935;1,2982713
2,789999962;1,377014756;1,2974691
2,799999952;1,3762151;1,2966666
2,809999943;1,375414968;1,2958637
2,819999933;1,374614477;1,2950605
2,829999924;1,37381351;1,2942569
2,839999914;1,373012304;1,293453
2,849999905;1,372210503;1,2926488
2,859999895;1,371408463;1,2918444
2,869999886;1,370606065;1,2910396
2,880000114;1,369803309;1,2902346
2,890000105;1,369000196;1,2894292
2,900000095;1,368196845;1,2886237
2,910000086;1,367393136;1,2878178
2,920000076;1,366589189;1,2870119
2,930000067;1,365784883;1,2862055
2,940000057;1,364980459;1,2853991
2,950000048;1,364175677;1,2845925
2,960000038;1,363370657;1,2837856
2,970000029;1,362565398;1,2829787
2,980000019;1,36176002;1,2821715
2,99000001;1,360954404;1,2813641
3;1,360148549;1,2805566
3,00999999;1,359342575;1,279749
3,019999981;1,358536363;1,2789413
3,029999971;1,357730031;1,2781335
3,039999962;1,35692358;1,2773255
3,049999952;1,356117129;1,2765175
3,059999943;1,355310321;1,2757094
3,069999933;1,354503632;1,2749013
3,079999924;1,353696823;1,274093
3,089999914;1,352889895;1,2732849
3,099999905;1,352082968;1,2724767
3,109999895;1,35127604;1,2716684
3,119999886;1,350468993;1,2708602
3,130000114;1,349662066;1,2700521
3,140000105;1,348855019;1,269244
3,150000095;1,34804821;1,268436
3,160000086;1,347241402;1,267628
3,170000076;1,346434712;1,2668202
3,180000067;1,345628023;1,2660124
3,190000057;1,344821572;1,2652049
3,200000048;1,344015121;1,2643975
3,210000038;1,343209028;1,2635903
3,220000029;1,342403054;1,2627834
3,230000019;1,341597438;1,2619768
3,24000001;1,340791941;1,2611704
3,25;1,33998692;1,2603644
3,25999999;1,339182019;1,2595586
3,269999981;1,338377714;1,2587534
3,279999971;1,337573647;1,2579484
3,289999962;1,336770177;1,2571441
3,299999952;1,335967064;1,2563401
3,309999943;1,335164666;1,2555369
3,319999933;1,334362745;1,2547342
3,329999924;1,33356154;1,2539321
3,339999914;1,33276093;1,2531307
3,349999905;1,331961155;1,2523302
3,359999895;1,331162095;1,2515304
3,369999886;1,330364108;1,2507316
3,380000114;1,329566836;1,2499336
3,390000105;1,328770757;1,2491368
3,400000095;1,32797575;1,248341
3,410000086;1,327181935;1,2475464
3,420000076;1,326389313;1,2467531
3,430000067;1,325598121;1,2459612
3,440000057;1,324808359;1,2451707
3,450000048;1,324020147;1,2443819
3,460000038;1,323233485;1,2435945
3,470000029;1,32244885;1,2428092
3,480000019;1,321666002;1,2420256
3,49000001;1,320885181;1,2412441
3,5;1,320106387;1,2404647
3,50999999;1,319330215;1,2396878
3,519999981;1,31855619;1,2389132
3,529999971;1,317784905;1,2381412
3,539999962;1,317016482;1,237372
3,549999952;1,31625104;1,2366059
3,559999943;1,315488577;1,2358427
3,569999933;1,314729452;1,235083
3,579999924;1,313974023;1,2343268
3,589999914;1,313222408;1,2335745
3,599999905;1,312474489;1,2328259
3,609999895;1,311730981;1,2320818
3,619999886;1,310992002;1,231342
3,630000114;1,310257673;1,2306069
3,640000105;1,309528232;1,2298768
3,650000095;1,308804274;1,229152
3,660000086;1,30808568;1,2284327
3,670000076;1,307372928;1,2277191
3,680000067;1,306666493;1,2270118
3,690000057;1,305966616;1,226311
3,700000048;1,305273294;1,2256168
3,710000038;1,304587126;1,2249298
3,720000029;1,303908706;1,2242504
3,730000019;1,303238034;1,2235788
3,74000001;1,302575469;1,2229153
3,75;1,301921606;1,2222604
3,75999999;1,301276803;1,2216145
3,769999981;1,300641298;1,2209778
3,779999971;1,300641298;1,2203509
3,789999962;1,299399853;1,2197341
3,799999952;1,298794746;1,2191277
3,809999943;1,298200607;1,2185321
3,819999933;1,297617674;1,2179478
3,829999924;1,297046661;1,2173753
3,839999914;1,29648757;1,2168146
3,849999905;1,295941234;1,2162666
3,859999895;1,295407534;1,2157313
3,869999886;1,294887304;1,2152091
3,880000114;1,294380546;1,2147005
3,890000105;1,293888092;1,2142059
3,900000095;1,293409824;1,2137253
3,910000086;1,292946458;1,2132597
3,920000076;1,292497993;1,2128087
3,930000067;1,292065382;1,2123734
3,940000057;1,291648149;1,2119533
3,950000048;1,291247725;1,2115498
3,960000038;1,290863276;1,2111621
3,970000029;1,290497303;1,2107927
3,980000019;1,290149689;1,2104411
3,99000001;1,289827585;1,2101147
4;1,289894462;1,2101769
